Team Abbr,Wins,Losses,Tie,Record ,Win Percentage 
ARI,13,3,0,13-3-0,0.188
ATL,7,9,0,7-9-0,0.438
BAL,10,6,0,10-6-0,0.625
BUF,6,10,0,6-10-0,0.375
CAR,7,9,0,7-9-0,0.438
CHI,12,4,0,12-4-0,0.75
CIN,6,10,0,6-10-0,0.375
CLE,7,8,1,7-8-1,0.469
DAL,10,6,0,10-6-0,0.625
DEN,6,10,0,6-10-0,0.375
DET,6,10,0,6-10-0,0.375
GB,6,9,1,6-9-1,0.406
HOU,11,5,0,11-5-0,0.688
IND,10,6,0,10-6-0,0.625
JAX,5,11,0,5-11-0,0.313
KC,12,4,0,12-4-0,0.75
LA,13,3,0,13-3-0,0.75
LAC,12,4,0,12-4-0,0.813
MIA,7,9,0,7-9-0,0.438
MIN,8,7,1,8-7-1,0.531
NE,11,5,0,11-5-0,0.688
NO,13,3,0,13-3-0,0.813
NYG,5,11,0,5-11-0,0.313
NYJ,4,12,0,4-12-0,0.25
OAK,4,12,0,4-12-0,0.25
PHI,9,7,0,9-7-0,0.563
PIT,9,6,1,9-6-1,0.594
SF,4,12,0,4-12-0,0.25
SEA,10,6,0,10-6-0,0.625
TB,5,11,0,5-11-0,0.313
TEN,9,7,0,9-7-0,0.563
WAS,7,9,0,7-9-0,0.438
